VIN,Model,Report Date,Incident Date,Location,NHTSA Complaint,Details
5YJ3E1EAXJF****,2018 MODEL 3,15-May-19,26-Feb-19,"SAN DIEGO, CA",11207877,"MY WIFE ( DRIVER FOR OVER 40 YEARS, NO ACCIDENTS, NO TICKETS) WAS STOPPED AT A TRAFFIC LIGHT ON A DOWNGRADE, FOOT ON THE BRAKE, IN OUR BRAND NEW TESLA MODEL 3 WHEN IT SUDDENLY BEGAN TO MOVE FORWARD AND CRASHED INTO CARS STOPPED AT THE LIGHT IN FRONT OF HER. MY WIFE TRIED DESPERATELY TO STOP THE TESLA WITH THE BRAKES AND EMERGENCY BRAKE. OU CAR WAS STOPPED BY THE CAR IN FRONT. I HATE TO THINK OF WHAT COULD HAVE HAPPENED HAD THERE NOT BEEN CAR IN FRONT. WE PURCHASED THE TESLA IN DECEMBER OF 2018 AND THE CRASH OCCURRED IN FEBRUARY OF 2019. AFTER THE CRASH I CALLED TESLA, THEN I WENT TO THEIR SHOWROOM IN SAN DIEGO, THEY REFERRED ME TO TESLALEGAL.COM. SO I ASKED MY ATTORNEY TO HELP. IN THE MEANTIME, AFTER THE TESLA WAS RELEASED FROM THE BODY SHOP IT WAS SENT TO THE TESLA SERVICE CENTER IN SAN DIEGO. IMMEDIATELY, MY ATTORNEY EMAILED SERVICEHELPNA@TESLA.COM FOR TESLA TO PRESERVE AND PROVIDE THE ELECTRONIC DRIVING RECORD TO DETERMINE WHAT HAPPENED TO THE CAR. SERVICE CENTER DID NOT RESPOND TO OUR REQUEST. AT THIS POINT TESLA DEFINITELY KNOWS THAT WE HAVE A PROBLEM. OUR ATTEMPTS AT CONTACT BEGAN IMMEDIATELY AFTER THE CRASH IN FEBRUARY. AS OF MAY 15TH THERE IS NO CONTACT YET. WITH THE KNOWLEDGE THAT I HAD AN ATTORNEY, TESLA SERVICE STILL SENT ME DOCUMENTS TO SIGN. THEY RECENTLY SENT ME A TEXT THAT THEY HAVE UPDATED FIRMWARE WITH THE LATEST VERSION AND THE CAR IS SAFE TO DRIVE AT THIS TIME. TO ME IT SOUNDS LIKE THEY MODIFIED THE TESLA. MY ATTORNEY HAS CALLED AND EMAILED TESLA SERVICE, TESLA CUSTOMER SERVICE, TESLA LEGAL, AND TESLA HEADQUARTERS IN FREMONT. SHE HAS WRITTEN LETTERS TO ALL OF THE ABOVE AND MAILED THEM CERTIFIED MAIL. IN THE LETTERS SHE HAS EXPLAINED THAT MY WIFE AND I ARE FEARFUL OF DRIVING THE CAR AND DEFINITELY DONT WANT ANYONE ELSE TO GET KILLED. THE TESLA SITS IN THE SERVICE CENTER STORAGE."
Not Reported,2018 MODEL 3,4-Jan-19,1-Jan-19,"UNION CITY, CA",11165284,"1. WE PICKED UP THE CAR ON DEC 30TH, FROM THE FREMONT FACTORY, THE CAR WAS NOT EVEN FULLY CHARGED, AND THERE WAS A MESSAGE ON THE CONSOLE SAYING, THAT, 
 
 IT NEEDS A SOFTWARE UPGRADE. 
 
 WE WENT BACK INSIDE AND ASKED ONE OF THE SALES PEOPLE, HE SAID, THIS IS THE END OF THE YEAR, THE CARS ARE NOT COMING FULLY CHARGED, AND HE LAUGHED ABOUT
 
 THE SOFTWARE UPGRADE. WE CAME HOME AND UPGRADED THE SOFTWARE. 
 
 NO-ONE WENT OVER THE OPERATIONS OF THE CAR. 
 
 2. ON JAN 1ST, THE 30 DAY TRIAL FOR THE AUTOPILOT FEATURE POPPED UP ON THE CONSOLE, AND WE CLICKED YES. 
 
 WE DECIDED TO TRY THE AUTO-TRIAL FEATURE IN THE EVENING FROM SANTA CRUZ TO OUR HOME. WE ENABLED THE AUTO-PILOT ON ROUTE 880, IT KEPT ASKING TO KEEP YOUR HANDS LIGHTLY ON THE STEERING WHEEL, WHILE THE HANDS WERE ON THE STEERING WHEEL AT ALL TIMES. AFTER MAYBE 10 MINUTES, IN THE CENTRE LINE, AT A SPEED OF 63 MPH, RED WARNING STARTED SAYING, THE CAR CAN NO LONGER AUTO STEER. WE CANCELED THE AUTOPILOT, MANUALLY DROVE THE CAR. 
 
 ON LOCAL STREET ON MOWRY AVENUE, BETWEEN 6:30 PM AND 7 PM, WHILE DRIVING, THE CAR IN FRONT OF US SLOWED DOWN, REMOVED THE FOOT FROM THE ACCELERATOR, CAR CONTINUE TO ACCELERATE, WHILE THE BRAKE PEDAL WAS PRESSED. NO COLLISION WARNING, AND CAR KEPT GOING UNTIL IT RAN INTO THE NEXT CAR AND STOPPED. 
 
 WE PULLED OVER AND ASSESSED THE DAMAGE, OUR CAR HAS SMALL NICK ON THE CENTER OF THE BUMPER. 
 
 3. ARRIVED HOME, WITH ABOUT 80 MILES CHARGE LEFT. AFTER PLUGGING IN THE CHARGER, ABOUT 15 MINUTES LATER, MESSAGE ON THE PHONE CAME THAT CHARGING INTERRUPTED, AS IT HAS 78% OF CHARGE ON THE BATTERY. 
 
 ADDITIONALLY, THESE ARE THE SOME OF THE OTHER CONCERNS,
 
 -RATTLING NOISE ON THE RIGHT SIDE DURING DRIVING
 
 -WHILE DRIVING SLOWLY AT ABOUT 5 MILES AN HOUR, THERE IS A BRAKE NOISE
 
 -THERE IS WIND LEAK ON BOTH FRONT WINDOWS AND DOORS. 
 
 -RIGHT REAR SEAT BELT DOES NOT ALWAYS LOCK"
5YJ3E1EB4JF****,2018 MODEL 3,30-Dec-18,30-Nov-18,"BURLINGAME, CA",11164094,"MY TESLA MODEL 3 WAS SO NEW THAT DIDN'T EVEN HAVE THE LICENSE PLATE YET. I'VE DONE SELF-PARK QUITE A FEW TIMES, AND EVEN WENT TO THE SALES CENTER TO CONFIRM THE WAY TO ENGAGE SELF PARK. WHEN THE VEHICLE SENSE THE SPACE AND YOU GO REVERSE, THE BLUE START BUTTON WILL BE ON SO YOU CAN PRESS AND LET THE AUTO SELF PARK. SADLY, THE SELF PARK CAUSED THE ACCIDENT ON 11/30/18 WHEN I WAS ON LYON STREET IN SAN FRANCISCO. WHEN PRESSED ON THE REVERSE 'START' BUTTON, THE CAR WENT UNCONTROLLABLY (LIKE A DEMON WAS IN THE CAR) AND HIT THE REAR PARKED CAR. I COULD BARELY HIT THE BRAKE IN TIME TO STOP THE ZOOMED REVERSE. THIS ACCIDENT NOT ONLY DAMAGED MY NEW MODEL 3 AND IT HIT THE BUMPER AND HEADLIGHT OF ANOTHER PARKED VEHICLE, THE INCIDENT TRULY TRAUMATIZED ME ON THE TESLA CAR FUNCTIONS. THANKFULLY, THERE WAS NOT ANY UPCOMING REAR TRAFFIC, WITH THE SELF REVERSE SPEED, THE ACCIDENT COULD BE A LOT WORSE. TESLA INSISTED THAT IT IS NOT AN AUTO-PILOT OR SELF-PARK ISSUE. THEY SAID WE HAVE TO WAIT 4 WEEKS FOR THE ENGINEERING REVIEW AND REPORT. AFTER WAITING FOR THE TESLA REPORT FOR 4 WEEKS, THEY CLAIMED THE VEHICLE WAS 'NOT' ENGAGED IN THE 'SELF-PARK' FUNCTION - WELL, WHY WOULD THE BLUE START BUTTON IS AVAILABLE FOR ME TO BELIEVE THAT THE SELF PARK WAS READY????? THEY MADE THE EXCUSE THE CREEP FUNCTION WAS ACTIVATED. THAT IS RIDICULOUS! YOUR BLUE START BUTTON WAS AVAILABLE FOR SELF-PARK, DRIVER WOULD ASSUME THE VEHICLE IS READY TO BE PARKED. WHO WOULD GUESS THE VEHICLE WOULD ZOOM BACK UNCONTROLLABLY? COULD YOU IMAGINE HOW DANGEROUS THIS IS FOR ALL THE SELF PARK DRIVERS AND PASSENGERS? THE ACCIDENT COULD BE MUCH WORSE. NHTSA MUST ISSUE INVESTIGATION AND FINING FOR SUCH TESLA SELF PARK ISSUE!"
5YJ3E1EA6JF****,2018 MODEL 3,26-Nov-18,26-Nov-18,"UPPER ARLINGTON, OH",11154132,TESLA MODEL 3 (2018) PROCEEDED TO ACCELERATE WHILE BRAKE PEDAL WAS DEPRESSED GOING THROUGH AN INTERSECTION CAUSING UNCONTROLLABLE MANEUVER AND VEHICLE CONTROL LOSS. THE VEHICLE FAILED TO RESPOND TO PEDAL INPUT AND FAILED TO DEPLOY AIRBAGS UPON IMPACT WITH A TREE AND FENCE CONTINUING TO ACCELERATE THROUGHOUT SUCH INCIDENT. AUTOPILOT WAS ENGAGED PRIOR TO CRASH. NO FORWARD COLLISION WARNING ACTIVATED.
5YJ3E1EB1JF****,2018 MODEL 3,3-Oct-18,3-Oct-18,"LEXINGTON, MA",11133222,"ON OCTOBER 3RD, AT 5:26PM, I ENTERED THE VEHICLE, STEPPED ON THE BRAKE AND SHIFTED THE CAR INTO D TO PULL FORWARD OUT OF A PARKING SPACE (I BACKED IN).
 
 AS I GENTLY APPLIED THE ACCELERATOR PEDAL TO EASE FORWARD (AND TURN LEFT) OUT OF THE PARKING SPACE TO HEAD DOWN THE PARKING AISLE, THE CAR MOVED FORWARD MUCH FASTER THAN EXPECTED SO I LET OFF THE PEDAL. THE VEHICLE STOPS ACCELERATING AFTER LETTING OFF THE PEDAL. I TRY PRESSING THE PEDAL GENTLY AGAIN AND THE CAR LURCHES FORWARD PRETTY QUICKLY AS IF I DEPRESSED THE PEDAL ABOUT HALFWAY DOWN (I DID NOT). LETTING GO OF THE ACCELERATOR PEDAL DIDN'T SEEM TO KICK IN REGENERATIVE BRAKING SO I PRESSED ON THE BRAKE TO SLOW THE CAR DOWN TO A SPEED APPROPRIATE FOR A PARKING LOT.
 
 AFTER USING THE BRAKE, THE PROBLEM NEVER REAPPEARED AND I RESUMED MY DRIVE ALTHOUGH I WAS SHAKEN A BIT BY THE INCIDENT.
 
 IT'S ALMOST AS IF THE ""THROTTLE MAP"" WAS MESSED UP FOR A FEW SECONDS ASKING THE CAR TO DELIVER MUCH HIGHER CURRENT THAN IT SHOULD HAVE AT A 5-10% PEDAL POSITION."
5YJ3E1EA1JF****,2018 MODEL 3,28-Sep-18,26-Sep-18,"SIMI VALLEY, CA",11132177,"SUDDEN UNEXPECTED ACCELERATION
 
 CAR WAS IN PARKING LOT (BOTH ON AUGUST12 2018 AND ON SEPTEMBER 26 201 AND COMING TO A STOP.. MY FOOT WAS NOT ON THE ACCELERATOR BUT CAR JOLTED FORWARD APPROXIMATELY 10 FEET."
5YJ3E1EA7JF****,2018 MODEL 3,2-Sep-18,1-Sep-18,"RIVERSIDE, CA",11124067,"I WAS PULLING INTO A DRIVEWAY WHEN MY FOUR WEEK OLD TESLA MODEL 3, UNEXPECTEDLY ACCELERATED FOR NO OBVIOUS REASON. IT FELT LIKE CAR WAS FLYING AT A HIGH SPEED AND I HAD NO CONTROL. IN A BLURR, WE WERE SURROUNDED BY INFLATED AIRBAGS ON ALL SIDES IN A SMOKE FILLED CAR AND I REALIZED CAR HAD CRASHED INTO THE GARAGE DOOR AND NOW WAS PINNED UNDER A CRUMPLED GARAGE DOOR. IN SECONDS, AN EVERYDAY INSTANCE OF PULLING INTO THE DRIVEWAY HAD SUDDENLY CHANGED INTO A NIGHTMARE."
5YJ3E1EA7JF****,2018 MODEL 3,22-Apr-19,20-Aug-18,"PLACITAS, NM",11202909,"TL* THE CONTACT OWNS A 2018 TESLA MODEL 3. WHILE DRIVING WITH THE CRUISE CONTROL SET AT APPROXIMATELY 67 MPH, THE VEHICLE INDEPENDENTLY ACCELERATED TO 75 MPH. THE FAILURE OCCURRED WITHOUT WARNING. THE CONTACT WAS ABLE TO DISENGAGE THE CRUISE CONTROL. A DEALER WAS NOT CONTACTED. THE MANUFACTURER WAS CONTACTED AND AN ENGINEER WAS SENT TO DIAGNOSE THE VEHICLE. THE ENGINEER WAS UNABLE TO PROVIDE A CAUSE FOR THE INDEPENDENT ACCELERATION. THE CONTACT STATED THAT THE FAILURE RECURRED SEVERAL TIMES. THE VEHICLE WAS NOT REPAIRED. THE APPROXIMATE FAILURE MILEAGE WAS 4,000. *BF 
 
 CONSUMER STATED VEHICLE EITHER SLOWS DOWN SUDDENLY OR SPEEDS UP. THIS HAS HAPPENED MULTIPLE TIMES.*JB"
5YJ3E1EA3JF****,2018 MODEL 3,14-Aug-18,2-Aug-18,"SAN FRANCISCO, CA",11119991,"SUDDEN UNINTENDED ACCELERATION.
 
 VEHICLE WAS RETRIEVED FROM SERVICE CENTER AFTER A CENTER SCREEN/COMPUTER REPLACEMENT. LATER THAT EVENING, WHEN ARRIVING AT THE DESTINATION AT A RESIDENTIAL NEIGHBORHOOD, I RELEASED THE ACCELERATOR PEDAL AND TURNED TO APPROACH THE CURB. WHEN THE VEHICLE WAS NEXT TO THE CURB, IT SUDDENLY ACCELERATED. I QUICKLY APPLIED THE BRAKE PEDAL AND TURNED THE WHEEL TO STEER AWAY FROM THE CURB TO AVOID COLLISION WITH A PARKED CONSTRUCTION VEHICLE. VIDEO OF THE INCIDENT WAS CAPTURED WITH THE RING DOORBELL CAMERA AND VIDEO FOOTAGE IS AVAILABLE."
5YJ3E1EA9JF****,2018 MODEL 3,3-Aug-18,27-Jul-18,"DUBLIN, CA",11115496,"I WAS AT THE SUPERCHARGING STATION IN DUBLIN ( CALIFORNIA) . WHEN I WANTED TO TAKE REVERSE AND PARK MY CAR FOR SUPERCHARGING.MY CAR SHOWED THE OPTION OF AUTOPARK. SINCE THERE WAS AN OPEN SPOT AVAILABLE FOR PARKING MY CAR (WHERE MY CAR FITS PROPERLY - AS PER TESLA GUIDELINES) .I STARTED AUTO PARKING ,IN AUTOPARK FEATURE USUALLY THE CAR COMES CLOSE TO THE OTHER CAR AND THEN TAKES NECESSARY TURN. BUT IN MY CASE THE CAR CAME VERY CLOSE TO THE OTHER CAR AND INSTEAD OF STOPPING IT SPEEDED UP AND DASHED TO THE OTHER CAR IN THE PARKING SPOT. MY CAR HAS COLLISION PREVENTION PLUS IT PROVIDES ACCURATE DISTANCE IF THERE IS SOME OBJECT BEHIND MY CAR, BUT IN THIS CAR NEITHER OF THE SYSTEMS ALERTED ME AND LED TO A CRASH.I RAISED A COMPLAINT TO TESLA ABOUT THE AUTO PARK FEATURES PROBLEM BUT HAVENT RECEIVED ANY ANY WORD FROM THEM. I HAVE ATTACHED THE IMAGES OF THE CAR."
5YJ3E1EA0JF****,2018 MODEL 3,10-May-18,10-May-18,"DOVER, DE",11092830,"TL* THE CONTACT OWNS A 2018 TESLA MODEL 3. WHILE ATTEMPTING TO PARK THE VEHICLE, THE BRAKE PEDAL WAS DEPRESSED, BUT THE VEHICLE ACCELERATED RAPIDLY ON ITS OWN WITHOUT WARNING. AS A RESULT, THE VEHICLE DROVE OVER A CURB AND CRASHED INTO PART OF A STORE. THE FRONT END OF THE VEHICLE WAS DAMAGED. THE AIR BAGS FAILED TO DEPLOY. A POLICE REPORT WAS FILED AND THERE WERE NO INJURIES. THE VEHICLE WAS DRIVEN TO THE CONTACT'S HOME. THE CONTACT NOTIFIED TESLA'S SERVICE CENTER AT (610) 407-7030, BUT THE DEALER AND MANUFACTURER WERE NOT CONTACTED. THE VEHICLE WAS NOT DIAGNOSED OR REPAIRED. THE FAILURE MILEAGE WAS NOT AVAILABLE. *TT"
5YJ3E1EA5JF****,2018 MODEL 3,22-May-18,5-May-18,"PHOENIX, AZ",11097159,"DRIVER FELT SUDDEN UNINTENDED ACCELERATION WHILE PARKING THE CAR. THE ACCELERATION HAPPENED WITHIN THE LAST COUPLE OF SECONDS WHEN THE CAR WAS TURNING 90% AT PRETTY NORMAL SPEEDS TO PARK. THE CAR HIT A TREE, AND SUFFERED SIGNIFICANT FRONTAL DAMAGE."
5YJ3E1EA6JF****,2018 MODEL 3,4-May-18,4-May-18,"CHANDLER, AZ",11091970,"UNINTENDED ACCELERATION OF 2018 TESLA MODEL 3.
 
 ISSUE DESCRIPTION: ISSUE OCCURRED ON 05/04/18 AT APPROX. 11:52 AM WHILE TRYING TO PARK THE VEHICLE IN A PARKING LOT OF A GROCERY STORE. THE VEHICLE WAS IN THE PARKING SPACE POSITION WHEN IT SUDDENLY ACCELERATED WITHOUT ANY INPUT FROM THE DRIVER. THE BRAKES WERE APPLIED HOWEVER THEY FELT INOPERATIVE. IT FELT AS THOUGH THE DRIVER HAD NO CONTROL OVER BRAKING AND THE VEHICLE HAD A MIND OF ITS OWN. THE DRIVER TURNED THE STEERING WHEEL TO AVOID DIRECTLY HITTING A DUMPSTER WHILE TRYING TO BRAKE. THE PASSENGER SIDE OF THE VEHICLE THEN HIT A CURB AND A PONY WALL. AFTER THE IMPACT, THE DRIVER WAS ABLE TO TURN THE VEHICLE WHILE APPLYING THE BRAKES THAT EVENTUALLY BROUGHT THE VEHICLE TO A STOP. 
 
 PROBABLE CAUSE: UNKNOWN. GIVEN THE VEHICLE IS NEW, IT IS DIFFICULT TO IDENTIFY A REASON WHY WOULD IT ACCELERATE UNINTENTIONALLY. THE VEHICLE IS EQUIPPED WITH ENHANCED AUTO PILOT WHICH WAS NOT ENGAGED AT THE TIME OF INCIDENT. THE NIGHT PRIOR TO THE INCIDENT THE VEHICLE DISPLAYED SOFTWARE GLITCH WHERE IN IT WOULD NOT CONTROL THE VOLUME OF THE RADIO WHILE DRIVING WITH THE BUTTONS ON THE STEERING WHEEL AND WAS STUCK IN CONTROLLING THE STEERING WHEEL POSITION.
 
 CAR IS RUNNING SOFTWARE VERSION 8.1 (2018.14.13 9E3B7FF)"
Not Reported,2017 MODEL X,11-Sep-18,4-Aug-18,"LONDON, UT",11128789,"ON AUG 4, 2018, IN VENTURA, CA, AT ABOUT 2:30 PM I WAS DRIVING A PASSENGER TO A MEDICAL CLINIC IN A RENTED TESLA MODEL X. AS I WAS PULLING INTO THE PARKING SPACE THE TESLA RAPIDLY ACCELERATED FORWARD UNEXPECTEDLY. SURPRISED AND SCARED I TURNED THE STEERING WHEEL AS HARD AS I COULD AND PRESSED ON THE BRAKE TO STOP THE CAR TO AVOID THE BUILDING IN FRONT OF ME. EVEN WITH MY EFFORTS OF STOPPING, THE CAR WENT OVER THE CURB ONTO THE SIDEWALK AND THEN OVER A LOW CEMENT WALL AND FINALLY STOPPED NEXT TO THE BUILDING. THIS CAUSED DAMAGE TO THE CEMENT WALL, THE FRONT RIGHT WHEEL WELL AND THE UNDERCARRIAGE OF THE CAR. LUCKILY NO ONE WAS HURT. IF I HADN'T AVOIDED HITTING THE BUILDING OR IF A PERSON HAD BEEN WALKING OR STANDING IN FRONT OF ME ON THE SIDEWALK SOMEONE COULD HAVE EASILY BEEN INJURED. THE POLICE WERE CALLED AND THERE WAS AN INCIDENT REPORT."
5YJXCDE26HF****,2017 MODEL X,21-Jul-18,4-Jun-18,"DANVILLE, CA",11112860,THE CAR SUDDENLY TOOK OVER AND ACCELERATED BEYOND CONTROL WHILE I PULLED THE CAR INTO A PARKING SPACE. FRONT AIRBAGS WERE DEPLOYED AND THE FRONT END OF THE CAR WAS DAMAGED BEYOND REPAIR. THE CAR WAS TOTALED.
Not Reported,2017 MODEL X,21-Jul-18,26-May-18,Not Reported,11102931,"I WAS SLOWLY MOVING INTO A PARKING SPACE IN FRONT OF A SUPERMARKET WHEN THE CAR SUDDENLY ACCELERATED, HIT THE CONCRETE PARKING SPACE BLOCK IN THE FRONT OF THE PARKING SPACE, JUMPED THE CURB, AND GLANCED OFF THE CORNER OF THE SUPERMARKET BUILDING BEFORE TURNING 90 DEGREES AND STOPPING. THE ENTIRE INCIDENT LITERALLY TOOK SECONDS. ALL THE AIR BAGS DEPLOYED, AND THE INSURANCE COMPANY HAS TOTALED THE CAR. THE ACCIDENT WAS CAUGHT ON THE SUPERMARKET'S SURVEILLANCE CAMERAS."
5YJXCDE29HF****,2017 MODEL X,7-Apr-18,4-Apr-18,"SAN JOSE, CA",11083755,"MY CAR HAD AN UNINTENDED ACCELERATION WHEN I WAS TRYING TO PARK IN THE PARKING LOT OF MY OFFICE. THE CAR ACCELERATED, JUMPED THE PARKING CURB AND HIT ANOTHER PARKED CAR. MY CAR SUFFERED SUBSTANTIAL DAMAGE, AIR BAGS WERE DEPLOYED AND I ESCAPED WITH MINOR BRUISES. THE CAR WHICH WAS I COLLIDED WITH WAS PARKED AND DID NOT HAVE ANY PASSENGERS IN IT. NOBODY ELSE WAS INJURED."
5YJXCBE29HF****,2017 MODEL X,7-Mar-18,6-Mar-18,"PHOENIX, AZ",11076619,"I WAS PARKING WHEN I FELT THE VEHICLE SUDDENLY ACCELERATE AND JUMP THE CURB, SMASHING THROUGH THE FRONT WINDOWS/DOOR OF A BUSINESS."
Not Reported,2017 MODEL X,16-Feb-18,24-Jan-18,"ARCADIA, CA",11073274,"TL* THE CONTACT OWNS A 2017 TESLA MODEL X. WHILE ATTEMPTING TO PARK THE VEHICLE AND APPLY THE BRAKES AT 5 MPH, THE VEHICLE PICKED UP SPEED. AS A RESULT OF THE FAILURE, THE VEHICLE CRASHED INTO A SCHOOL BUILDING. THE AIR BAGS DID NOT DEPLOY. THERE WERE NO INJURIES AND A POLICE REPORT WAS FILED. THE VEHICLE WAS TOWED TO AN INDEPENDENT MECHANIC WHO DETERMINED THAT THE ACCELERATOR PEDAL WAS DEPRESSED TO CAUSE THE COLLISION. THE VEHICLE WAS NOT REPAIRED. THE DEALER WAS NOT NOTIFIED OF THE FAILURE. THE MANUFACTURER WAS NOTIFIED. THERE WAS NO RECALL RELATED TO THE FAILURE. THE VIN WAS NOT PROVIDED. THE APPROXIMATE FAILURE MILEAGE WAS 800."
5YJXCBE2XHF****,2017 MODEL X,23-Nov-17,18-Nov-17,"BELLEVUE, WA",11048161,"WE WERE IN A PARKING LOT OF ""KIDQUEST MUSEUM"" IN BELLEVUE , WA. , TAKING OUR GRAND DAUGHTER, ONE YEAR OLD, TO THE MUSEUM. OUR CAR WAS IN STATIONARY POSITION. WE WERE TRYING TO FIGURE OUT WHERE TO PARK. DURING THIS TIME, OUR MODEL X, TOOK OFF WITH UNINTENDED ACCELERATION AND WE COULD NOT CONTROL THE CAR. IT WAS INSTANTANEOUS, OUR CAR WENT AND HIT A PARKED CHEVY VAN. THIS VAN FWENT UPSIDE DOWN AND WENT OVER THE FENCE INTO THE LOT NEXT TO IT. AFTER THE IMPACT OUR CAR WENT AND HIT ELETRIC POLE, WENT INTO BUSHES AND OVER AN ELECTRICAL BOX OF 5 BY 5. I COULD NOT OPEN THE DOOR. THERE WAS SMOKE IN THE CAR (MY WIFE THINKS SMOKE MIGHT HAVE STARTED WHILE THE CAR WAS ACCELERATING""). MUSEUM STAFF CAME AND OPENED THE PASSENGER DOOR. AFTER SHE GOT OUT, FIRST THING THEY DID WAS TO OPEN THE REAR PASSENGER DOOR AND TOOK OUT OUR GRANDDAUGHTER. I CAME OUT THRU PASSENGER DOO.
 
 FORTUNATELY NO ONE WAS HURT. MANY OF THE AIRBAGS CAME OUT. WE ARE UNBELIEVABLY LUCKY. THE PARKING LOT IS APPROXIMATELY 100 FT X 100. THIS IS THE PARKING LOT USUALLY WHERE MANY KIDS ARE IN THE LOT. FORTUNATELY THAT MOMENT THERE WAS NONE. ACCIDENT HAPPENED AROUND 4:20 P.M . WEATHER WAS GRAY BUT NO RAIN. WE STILL CAN NOT COMPREHEND HOW CAR CAN TAKE OFF AT THAT SPEED. NONE OF THE EMERGENCY BRAKING SYSTEM OR THE CAMERAS WORKED TO STOP THE CAR"
5YJSA1E13HF****,2017 MODEL S,3-Jul-19,22-Jun-19,"PALM DESERT, CA",11229124,"WHILE ATTEMPTING TO PARK THE CAR IN A PARKING SPACE THE CAR ACCELERATED ON IT'S OWN AND CRASHED OVER A SMALL CONCRETE RETAINING WALL AND CRASHED INTO ANOTHER VEHICLE.
 
 MY CAR AND THE CAR THAT WAS STRUCK WERE TOTALED."
5YJSA1E23HF****,2017 MODEL S,18-Mar-19,15-Mar-19,"FALLBROOK, CA",11189710,"TL* THE CONTACT OWNS A 2017 TESLA MODEL S. WHILE PULLING IN THE DRIVEWAY AT APPROXIMATELY 5 MPH, THE CONTACT ATTEMPTED TO STEP ON THE BRAKE PEDAL TO SLOW DOWN THE VEHICLE. HOWEVER, THE VEHICLE ACCELERATED THROUGH THE GARAGE AND CRASHED INTO THE HOUSE. THERE WAS NO WARNING INDICATOR ILLUMINATED. THE AIR BAGS DID NOT DEPLOY. A POLICE REPORT WAS NOT FILED. THE CONTACT SUSTAINED MINOR INJURIES THAT DID NOT REQUIRE MEDICAL ATTENTION. THE CONTACT STATED THAT THE VEHICLE WOULD NEED TO BE TOWED. THE CONTACT CALLED TESLA AT 858-558-1555 (LOCATED AT 4545 LA JOLLA VILLAGE DR, SUITE D17, SAN DIEGO, CA 92122) AND WAS REFERRED TO THE MANUFACTURER. THE MANUFACTURER WAS MADE AWARE OF THE FAILURE AND PROVIDED A CASE NUMBER. THE VEHICLE WAS NOT DIAGNOSED OR REPAIRED. THE FAILURE MILEAGE WAS 21,859. *TT
 
 THE CONSUMER STATED SHE DID RECEIVE MEDICAL ATTENTION FOR THIS ACCIDENT. *TR"
5YJSA1E21HF****,2017 MODEL S,6-Feb-19,31-Jan-19,"NORTH BERGEN, NJ",11174732,"2017 TESLA MODEL S STARTED TO ACCELERATE ON ITS OWN OVER 100 MPH, WHEN TRAVELING ON HIGHWAY AROUND 70 MPH, WITHOUT AUTOPILOT ENGAGED. AS SOON AS IT STARTED TO ACCELERATE, THE CAR TOOK CONTROL OVER THE STEERING WHEEL AND DROVE INTO THE GUARDRAIL ON THE LEFT OF THE LANE, THEN QUICKLY STEERED TO THE RIGHT LANES AND STEERED TO THE LEFT AGAIN. SLAMMED ON THE BRAKE BUT DID NOT WORK AT ALL, AND STEERING WHEEL DID NOT RESPOND. THE CAR COMPLETELY TOOK CONTROL OVER TRAVELING OVER 100 MPH GOING ZIG-ZAG ON THREE LANE HIGHWAY, FINALLY CAME TO A STOP AFTER HITTING NUMBER OF TREES IN THE WOODS ON THE RIGHT SIDE OF THE HIGHWAY. THE CAR IS COMPLETELY TOTALED."
5YJSA1E26HF****,2017 MODEL S,21-Dec-18,15-Dec-18,"HENDERSON, NV",11162968,"OUR TESLA HAS HAD TWO INCIDENTS IN THE LAST THREE MONTHS OF UNCONTROLLABLE ACCELERATION....ONCE SLOWLY GOING INTO A PARKING PLACE AND ONCE BACKING OUT OF OUR GARAGE. THE FIRST ONE RESULTED IN A COUPLE OF CRACKED RIBS (WITH SEATBELT ON) AND $18,000 IN DAMAGE. THE SECOND INCIDENT: THE TESLA, WHEN BACKING UP WENT TOTALLY OUT OF CONTROL BY ACCELERATING AND IT BARRELED ACROSS THE STREET AND KNOCKING DOWN A TREE BEFORE COMING TO A STOP. THE TESLA IS NOW IN THE REPAIR SHOP WITH EXTENSIVE DAMAGE TO THE REAR OF THE CAR. NOT SURE YET OF THE DOLLAR AMOUNT. I FEEL THIS IS A SERIOUS DEFECT IN THE TESLA MODEL S."
5YJSA1E22HF****,2017 MODEL S,20-Aug-18,7-Jul-18,"LOS ALTOS, CA",11121147,I WAS MAKING A LEGAL U TURN ON A CITY STREET TO PARK. I PULLED BEHIND A PARKED CAR AND WAS GOING ABOUT 1MPH WHEN MY CAR SUDDENLY ACCELERATED AND HIT THE PARKED CAR. THERE WERE NO WARNING SOUNDS UNTIL THE CAR HIT THE OTHER CAR AND THEN THE HORN AND LIGHTS ON MY CAR WENT OFF. THE CAR WAS NOT ON AUTO PARK AND NO AIR BAGS WERE DEPLOYED HOWEVER MY CAR AND THE CAR THAT WAS HIT HAD EXTENSIVE BODY DAMAGE. THERE WERE NOT INJURIES TO PEOPLE. I DON'T KNOW WHY THE CAR ACCELERATED INSTEAD OF STOPPING. I HAVE NEVER HIT THE ACCELERATOR PEDDLE INSTEAD OF THE BRAKE AND I DOUBT IF I DID IT IN THIS CASE.
